subject_id,subject_name,periods_per_week,teacher,block_pattern,student_class,constraint,room,fixed_period,group_id
ท21102,ภาษาไทย2,3.0,T033,1-2,"['1/1', '1/2', '1/3', '1/4']",,,,1
ว21103,วิทยาศาสตร์2,3.0,T023,2-1,"['1/1', '1/2']",,,,2
ว21103,วิทยาศาสตร์2,3.0,T024,2-1,"['1/3', '1/4']",nan,,nan,2
ส21103,สังคมศึกษา2,2.0,T044,2,"['1/1', '1/2', '1/3', '1/4']",,,,3
ส21104,ศาสนา1,2.0,T043,2,"['1/1', '1/2', '1/3', '1/4']",,,,4
พ21102,สุขศึกษาและพลศึกษา2,2.0,T048,2,"['1/1', '1/2', '1/3', '1/4']",,,,5
ศ21102,ศิลปนาฏดุริยางค์2,2.0,T039,2,"['1/1', '1/2', '1/3', '1/4']",,C108-109,,6
อ21102,ภาษาอังกฤษพื้นฐาน2,3.0,T031,2-1,"['1/1', '1/2', '1/3', '1/4']",,,,7
ค21201,คณิตศาสตร์เพิ่มเติม1,3.0,"['T005', 'T010']",2-1,"['1/1', '1/2', '1/3', '1/4']","type=TEACHER_SPLIT, [2: ภฤศรินทร์, 1: Coulter]",,,8
ค21202,คณิตศาสตร์เพิ่มเติม2,2.0,T006,2,"['1/1', '1/2', '1/3', '1/4']",,,,9
ว21202,เส้นทางการเป็นนักวิทยาศาสตร์และนวัตกร,2.0,"['T016', 'T011']",2,"['1/1', '1/2']",type=TEAM,,,10
ว21202,เส้นทางการเป็นนักวิทยาศาสตร์และนวัตกร,2.0,T012,2,"['1/3', '1/4']",type=TEAM,,nan,10
อ21201,ภาษาอังกฤษเพื่อการสื่อสาร1,2.0,T032,2,"['1/1', '1/2', '1/3', '1/4']",,,,11
กิจกรรมแนะแนว,กิจกรรมแนะแนว,1.0,T038,1,"['1/1', '1/2', '1/3', '1/4']",,,,12
EFF1,EFF1,1.0,T010,1,"['1/1', '1/2', '1/3', '1/4']",,,,13
ท22102,ภาษาไทย4,3.0,T035,2-1,"['2/1', '2/2', '2/3', '2/4']",,,,14
ว22102,วิทยาศาสตร์4,3.0,T019,2-1,"['2/1', '2/2', '2/3', '2/4']",,,,15
ส22103,สังคมศึกษา4,2.0,T045,2,"['2/1', '2/2', '2/3', '2/4']",,,,16
ส22104,ประวัติศาสตร์,2.0,T046,2,"['2/1', '2/2', '2/3', '2/4']",,,,17
พ22102,สุขศึกษาและพลศึกษา ,2.0,E007,2,"['2/1', '2/2', '2/3', '2/4']",,,,18
ศ22102,ศิลปนาฏดุริยางค์4,2.0,T041,2,"['2/1', '2/2', '2/3', '2/4']",,,,19
ง22101,เศรษฐกิจพอเพียง,1.0,T001,2,"['2/1', '2/2', '2/3', '2/4']",,,,20
อ22102,ภาษาอังกฤษระดับกลาง2,3.0,T032,2-1,"['2/1', '2/2', '2/3', '2/4']",,,,21
ค22201,คณิตศาสตร์เพิ่มเติม3,3.0,T009,2-1,"['2/1', '2/2', '2/3', '2/4']",,,,22
ค22202,คณิตศาสตร์เพิ่มเติม4,2.0,T008,2,"['2/1', '2/2', '2/3', '2/4']",,,,23
ว22202,โครงงานและนวัตกรรม2,2.0,T021,2,['2/1'],type=SEPERATE_SLOT,,,24
ว22202,โครงงานและนวัตกรรม2,2.0,T026,2,['2/2'],type=SEPERATE_SLOT,,nan,24
ว22202,โครงงานและนวัตกรรม2,2.0,T018,2,['2/3'],type=SEPERATE_SLOT,,nan,24
ว22202,โครงงานและนวัตกรรม2,2.0,T006,2,['2/4'],type=SEPERATE_SLOT,,nan,24
ว22203,ระบบสมองกลฝังตัวเบื้องต้น,2.0,T014,2,"['2/1', '2/2', '2/3', '2/4']",,,,25
อ22202,ภาษาอังกฤษเพื่อการอภิปรายกลุ่ม,1.0,T028,1,"['2/1', '2/2', '2/3', '2/4']",,,,26
กิจกรรมแนะแนว,กิจกรรมแนะแนว,1.0,T038,1,"['2/1', '2/2', '2/3', '2/4']",,,,27
EFF2,EFF2,1.0,E001,1,"['2/1', '2/2', '2/3', '2/4']",,,,28
ท23102,ภาษาในวรรณคดีไทย2,3.0,T034,2-1,"['3/1', '3/2', '3/3', '3/4']",,,,29
ว23102,วิทยาศาสตร์6,3.0,T017,2-1,"['3/1', '3/2', '3/3', '3/4']",,,,30
ว23103,วิทยาการคำนวณ3,2.0,T012,2,"['3/1', '3/2', '3/3', '3/4']",,,,31
ส23104,สังคมศึกษา6,2.0,T046,2,"['3/1', '3/2', '3/3', '3/4']",,,,32
ส23104,ประวัติศาสตร์3,2.0,T045,2,"['3/1', '3/2', '3/3', '3/4']",,,,33
พ23102,สุขศึกษาและพลศึกษา6,2.0,T047,2,"['3/1', '3/2', '3/3', '3/4']",,D316,,34
ศ23102,ศิลปนาฏดุริยางค์6,2.0,T040,2,"['3/1', '3/2', '3/3', '3/4']",,,,35
อ23102,ภาษาอังกฤษบูรณาการ2,3.0,T030,2-1,"['3/1', '3/2', '3/3', '3/4']",,,,36
ค23201,คณิตศาสตร์เพิ่มเติม5,2.0,T004,2,"['3/1', '3/2', '3/3', '3/4']",,,,37
ง23202,ทักษะงานช่าง,2.0,T001,2,"['3/1', '3/2', '3/3', '3/4']",,งานช่าง,,38
อ23202,พัฒนาคำศัพท์,2.0,T031,2,"['3/1', '3/2', '3/3', '3/4']",,,,39
กิจกรรมแนะแนว,กิจกรรมแนะแนว,1.0,T038,1,"['3/1', '3/2', '3/3', '3/4']",,,,40
EFF3,EFF3,1.0,E001,1,"['3/1', '3/2', '3/3', '3/4']",,,,41
ท31102,ภาษาไทย2,2.0,T035,2,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,42
ค31102,ความสัมพันธ์และสถิติ,3.0,T008,2-1,"['4/1', '4/2', '4/3']",,,,43
ค31102,ความสัมพันธ์และสถิติ,3.0,E002,2-1,"['4/4', '4/5']",nan,,nan,43
ว31104,การออกแบบเรขศิลป์ด้วยคอมพิวเตอร์,2.0,T013,2,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,44
พ31102,สุขศึกษาและพลศึกษา2,1.0,E006,1,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,45
ศ31102,ทัศนศิลป์และการออกแบบ,2.0,T039,2,"['4/1', '4/2', '4/3', '4/4', '4/5']",,C108-109,,46
อ31102,ภาษาอังกฤษขั้นกลาง,3.0,T028,2-1,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,47
ค31202,เรขาคณิตวิเคราะห์และฟังก์ชันตรีโกณมิติ,4.0,T006,2-2,"['4/1', '4/2', '4/3']",,,,48
ค31202,เรขาคณิตวิเคราะห์และฟังก์ชันตรีโกณมิติ,4.0,T003,2-2,"['4/4', '4/5']",nan,,nan,48
ว31201,กลศาสตร์,4.0,T026,2-2,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,49
ว31221,ปริมาณสารสัมพันธ์,4.0,T015,2-2,"['4/1', '4/2', '4/3']",,,,50
ว31221,ปริมาณสารสัมพันธ์,4.0,E003,2-2,"['4/4', '4/5']",nan,,nan,50
ว31241,พันธุศาสตร์และวิวัฒนาการ,4.0,T020,2-2,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,51
ว31283,สัมมนาทางวิทยาศาสตร์,2.0,T017,2,['4/1'],type=SUB_GROUP,,MON_9-MON_10,52
ว31283,สัมมนาทางวิทยาศาสตร์,2.0,T022,2,['4/2'],type=SUB_GROUP,,MON_9-MON_10,52
ว31283,สัมมนาทางวิทยาศาสตร์,2.0,T003,2,['4/3'],type=SUB_GROUP,,MON_9-MON_10,52
ว31283,สัมมนาทางวิทยาศาสตร์,2.0,T011,2,['4/4'],type=SUB_GROUP,,MON_9-MON_10,52
ว31283,สัมมนาทางวิทยาศาสตร์,2.0,T027,2,['4/5'],type=SUB_GROUP,,MON_9-MON_10,52
ว31284,การเขียนโปรแกรมคอมพิวเตอร์2,2.0,T014,2,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,53
กิจกรรมแนะแนว,กิจกรรมแนะแนว,1.0,T037,1,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,54
EFF4,EFF4,1.0,T010,1,"['4/1', '4/2', '4/3', '4/4', '4/5']",,,,55
ท32102,ภาษาไทย4,2.0,T036,2,"['5/1', '5/2', '5/3', '5/4', '5/5']",,,,56
ค32102,ลำดับและอนุกรม,2.0,T005,2,"['5/1', '5/2', '5/3']",,,,57
